disease,sii,ktp,rcc,log_papers,n_papers,mean_semantic_similarity
Acne_vulgaris,0.0013910419074818492,0.9991838932037354,0.007048164494335651,4.215161508294875,16412,0.892984
Acute_glomerulonephritis,0.001632543746381998,0.9988569617271423,0.006603907328099012,4.513843279231117,32647,0.888482
Acute_hepatitis,0.0013970434665679932,0.999090850353241,0.006603155750781298,5.022943609686901,105425,0.891991
Adverse_effects_of_medical_treatment,0.0009236311889253557,0.9994407892227173,0.00751708447933197,5.062062776687373,115362,0.895595
African_trypanosomiasis,0.002652810886502266,0.9985998868942261,0.007300170138478279,3.6852937813867843,4845,0.890459
Age-related_and_other_hearing_loss,0.0014369189739227295,0.9990764856338501,0.0071556163020431995,4.903100844218276,80002,0.896589
Alcohol_use_disorders,0.0017676412826403975,0.999144971370697,0.006683488842099905,4.591476434673244,39037,0.891039
Alopecia_areata,0.00147624674718827,0.9991047978401184,0.006488794926553965,3.6449307079135873,4415,0.888958
Alzheimer's_disease_and_other_dementias,0.0014890212332829833,0.9990776181221008,0.007225359324365854,5.310253485998792,204293,0.898687
Animal_contact,0.0017891174647957087,0.9987818598747253,0.007262870669364929,4.0090682761922185,10211,0.895296
Anxiety_disorders,0.002061313483864069,0.999101996421814,0.006286961492151022,4.7875454830624316,61312,0.892011
Aortic_aneurysm,0.001954616978764534,0.9987398982048035,0.006879290100187063,4.683821230045629,48286,0.894676
Appendicitis,0.0017849546857178211,0.9988091588020325,0.006629957351833582,4.207391977978488,16121,0.891224
Asthma,0.0012016785331070423,0.9992629885673523,0.007302391342818737,5.152890433966255,142197,0.898816
Atrial_fibrillation_and_flutter,0.0016972101293504238,0.9990116357803345,0.006728275679051876,5.006611495843435,101534,0.897652
Attention-deficit_hyperactivity_disorder,0.0021696758922189474,0.999022901058197,0.006137066055089235,4.652323713973758,44908,0.893809
Autism_spectrum_disorders,0.0017586875474080443,0.999085009098053,0.007318068295717239,4.976074731619874,94640,0.899
Bacterial_skin_diseases,0.0013951939763501287,0.9992071986198425,0.007676133885979652,4.154819436194173,14283,0.889429
Bipolar_disorder,0.001680632820352912,0.9991981387138367,0.0062767015770077705,4.6636067081245205,46090,0.893074
Bladder_cancer,0.0011978810653090477,0.9995356202125549,0.007083744276314974,4.732466136205422,54009,0.893871
Blindness_and_vision_loss,0.0013182145776227117,0.9991406798362732,0.007216088008135557,4.742921422599296,55325,0.894941
Brain_and_central_nervous_system_cancer,0.0011831409065052867,0.9993929862976074,0.007337271235883236,5.190659396792383,155117,0.896317
Breast_cancer,0.0010550826555117965,0.9995400905609131,0.007509819231927395,5.340888097700112,219224,0.898005
COVID-19,0.0016639137174934149,0.9988614320755005,0.007392252329736948,4.717279295427402,52153,0.902984
Cardiomyopathy_and_myocarditis,0.0013340843142941594,0.9991523623466492,0.007447933312505484,5.040705166342136,109826,0.89829
Cervical_cancer,0.0012234514579176903,0.999399721622467,0.00727734062820673,4.888527688811968,77362,0.892718
Chagas_disease,0.0022344356402754784,0.9986300468444824,0.007747333962470293,4.24149667332751,17438,0.899082
Chronic_kidney_disease,0.0012980926549062133,0.9993157982826233,0.006722744554281235,5.136685695396566,136989,0.894295
Chronic_obstructive_pulmonary_disease,0.0013139790389686823,0.9992098808288574,0.0071531059220433235,4.866050924009275,73460,0.896949
Cirrhosis_and_other_chronic_liver_diseases,0.0011193030513823032,0.9993690252304077,0.006807056721299887,5.062371366143577,115444,0.892284
Colon_and_rectum_cancer,0.0010421520564705133,0.9996317625045776,0.0075095584616065025,5.2804804837466754,190757,0.898858
Conduct_disorder,0.0033469724003225565,0.9983583092689514,0.005803059320896864,3.7790189719148706,6012,0.889526
Conflict_and_terrorism,0.002443463308736682,0.9984331727027893,0.00724823446944356,4.178660458538169,15089,0.899413
Congenital_birth_defects,0.0012665730901062489,0.9991509914398193,0.007488636765629053,5.316201068666369,207110,0.895287
Cystic_echinococcosis,0.0022014654241502285,0.9984024167060852,0.007459771353751421,4.071661123441788,11794,0.893359
Cysticercosis,0.0020278238225728273,0.998711884021759,0.006797312758862972,3.6675463395115164,4651,0.893355
Decubitus_ulcer,0.001358471461571753,0.9991432428359985,0.006826615426689386,4.120376479744434,13194,0.890318
Dengue,0.00187530810944736,0.9990274906158447,0.007273243740200996,4.476324317420228,29945,0.895492
Depressive_disorders,0.001347912009805441,0.9993259310722351,0.006946473382413387,5.35757850318107,227813,0.894645
Dermatitis,0.0011626153718680143,0.9993755221366882,0.007407326251268387,4.890359531317129,77689,0.896985
Diabetes_mellitus,0.0010570836020633578,0.9994475245475769,0.00733746774494648,5.364776057277425,231620,0.895141
Diarrheal_diseases,0.0010553443571552634,0.9993656277656555,0.007903823629021645,5.063974755067013,115871,0.895407
Dietary_iron_deficiency,0.0011814224999397993,0.9992982149124146,0.00694924034178257,4.3524526617530155,22514,0.886165
Diphtheria,0.0016086995601654053,0.999047577381134,0.007566067855805159,3.9621324692982354,9165,0.891388
Drowning,0.0017017978243529797,0.9989187717437744,0.0071509345434606075,3.635785235533652,4323,0.890289
Drug_use_disorders,0.0016569036524742842,0.9991750121116638,0.006904706824570894,5.24944540678751,177601,0.896975
Eating_disorders,0.0014383376110345125,0.9991678595542908,0.007197868078947067,4.712152840490958,51541,0.891225
Ebola,0.002445325255393982,0.9986464381217957,0.00712676253169775,4.008344629252689,10194,0.896248
Encephalitis,0.001399240456521511,0.9990877509117126,0.007345044519752264,4.679127966333415,47767,0.896314
Endocarditis,0.0018575984286144376,0.9987329840660095,0.007719812914729118,4.411383978327984,25786,0.896965
"Endocrine,_metabolic,_blood,_and_immune_disorders",0.0008232027175836265,0.999566376209259,0.0076827858574688435,5.342207454325204,219891,0.894297
Environmental_heat_and_cold_exposure,0.0014744317159056664,0.9989790916442871,0.007225159090012312,4.0068937079479,10160,0.891559
Esophageal_cancer,0.001415446400642395,0.9994931817054749,0.006911867763847113,4.711233412753435,51432,0.890579
Exposure_to_forces_of_nature,0.002425660379230976,0.9981935024261475,0.007913259789347649,4.44703392947485,27992,0.897068
Exposure_to_mechanical_forces,0.0014637731947004795,0.9990972876548767,0.006983748637139797,4.250663919463244,17810,0.888409
Eye_cancer,0.0014800566714257002,0.9991307258605957,0.007083289325237274,4.312135025479961,20518,0.890566
Falls,0.001766393193975091,0.9987977147102356,0.0063303811475634575,4.240249631518799,17388,0.890583
"Fire,_heat,_and_hot_substances",0.0012531477259472013,0.9991883635520935,0.007273989263921976,4.481327948152575,30292,0.892169
Food-borne_trematodiases,0.001953926170244813,0.9989221096038818,0.007281002122908831,4.242168589973666,17465,0.896121
Foreign_body,0.001994349993765354,0.9986722469329834,0.00719691114500165,4.513643692309039,32632,0.894049
Fungal_skin_diseases,0.0022696275264024734,0.9985362887382507,0.006798600312322378,4.095239112010478,12452,0.892985
Gallbladder_and_biliary_diseases,0.0011957562528550625,0.9993249177932739,0.007095328066498041,4.797586045160276,62746,0.893093
Gallbladder_and_biliary_tract_cancer,0.0014465403510257602,0.9994730353355408,0.006799664348363876,4.246793918775155,17652,0.888071
Gout,0.0012046241899952292,0.9992230534553528,0.007543409243226051,4.107820267248048,12818,0.890794
Guinea_worm_disease,0.002285813679918647,0.9988042116165161,0.007910522632300854,2.6324572921847245,429,0.888751
Gynecological_diseases,0.000982270808890462,0.9995316863059998,0.007290965411812067,5.316708228678936,207352,0.895581
HIV_AIDS,0.001190053764730692,0.9992278814315796,0.007636045105755329,5.346833953248279,222246,0.898134
Headache_disorders,0.0010897755855694413,0.9993179440498352,0.007150991819798946,4.999978284733019,99995,0.893176
Hemoglobinopathies_and_hemolytic_anemias,0.0012908572098240256,0.9990736842155457,0.007105308584868908,4.580274757268343,38043,0.893356
Hodgkin_lymphoma,0.001427644514478743,0.9991455078125,0.0068832156248390675,4.4364489006918335,27318,0.890351
Hypertensive_heart_disease,0.0010738575365394354,0.9994747042655945,0.007208548486232758,5.358817776252312,228464,0.895016
Idiopathic_developmental_intellectual_disability,0.0014971267664805055,0.9990602135658264,0.007498915772885084,4.803532222978957,63611,0.896362
Idiopathic_epilepsy,0.001407011179253459,0.9990671873092651,0.006808532401919365,4.872208734684711,74509,0.897635
Inflammatory_bowel_disease,0.0011190694058313966,0.9993254542350769,0.007038096431642771,4.9817461432349175,95884,0.895241
"Inguinal,_femoral,_and_abdominal_hernia",0.0021087294444441795,0.9985888004302979,0.0063039991073310375,4.125481265700594,13350,0.888065
Interpersonal_violence,0.002398492069914937,0.9987782835960388,0.006902297958731651,4.93584972965916,86268,0.898808
Intestinal_nematode_infections,0.0020175366662442684,0.9989097714424133,0.0068988194689154625,4.419228563709018,26256,0.892136
Invasive_Non-typhoidal_Salmonella_(iNTS),0.0020467103458940983,0.9987495541572571,0.008020375855267048,4.139595758469972,13791,0.891881
Iodine_deficiency,0.0019743209704756737,0.9986364841461182,0.006030958611518145,3.527372082827612,3368,0.88524
Ischemic_heart_disease,0.001487736706621945,0.999212384223938,0.007171096745878458,5.03884261632112,109356,0.894657
Kidney_cancer,0.0012730627786368132,0.9994548559188843,0.007261249702423811,4.8296639270245505,67556,0.89343
Larynx_cancer,0.0013770520454272628,0.9993435144424438,0.007105918135493994,4.153601474288411,14243,0.888304
Leishmaniasis,0.002150160726159811,0.9988369941711426,0.007646894082427025,4.391499675895142,24632,0.897955
Leprosy,0.0016424661735072732,0.9988564848899841,0.007501645945012569,3.926959488380276,8452,0.894343
Leukemia,0.001384854898788035,0.9992074370384216,0.007705360651016235,5.285302958496573,192887,0.894807
Lip_and_oral_cavity_cancer,0.0011779284104704857,0.9994972348213196,0.007045316975563765,4.757061827559215,57156,0.891128
Liver_cancer,0.0012881738366559148,0.9994845390319824,0.0072370655834674835,5.194683586622191,156561,0.891724
Low_back_pain,0.0015933364629745483,0.99900883436203,0.0062567368149757385,4.608130067510302,40563,0.89032
Lower_extremity_peripheral_arterial_disease,0.0010444909567013383,0.9994124174118042,0.0074417670257389545,4.722148360011163,52741,0.892381
Lower_respiratory_infections,0.0010489261476323009,0.9994163513183594,0.007580908015370369,5.2427053758148485,174866,0.898973
Lymphatic_filariasis,0.002374436939135194,0.9988543391227722,0.006120411213487387,3.525563058270067,3354,0.88763
Malaria,0.0017577052349224687,0.999054491519928,0.007671162951737642,4.897043975757265,78894,0.899445
Malignant_neoplasm_of_bone_and_articular_cartilage,0.0012254565954208374,0.9993911981582642,0.0074175214394927025,4.862441478920574,72852,0.89329
Malignant_skin_melanoma,0.0011710887774825096,0.9994215965270996,0.007789527531713247,5.080723867622977,120427,0.896387
Maternal_disorders,0.0012421804713085294,0.9991770386695862,0.007051172200590372,5.295545109811742,197490,0.894404
Measles,0.001583241275511682,0.9991742372512817,0.007107824552804232,4.187295054693737,15392,0.893093
Meningitis,0.0012759793316945434,0.9992499351501465,0.007693989668041468,4.624694531272081,42140,0.8963
Mesothelioma,0.0012371272314339876,0.9993435144424438,0.007207092363387346,4.156367400133521,14334,0.893949
Motor_neuron_disease,0.0014657085994258523,0.9990520477294922,0.00799647718667984,4.7202999093317946,52517,0.898327
Multiple_myeloma,0.0014506310690194368,0.9991554021835327,0.007238815538585186,4.654320961703679,45115,0.89302
Multiple_sclerosis,0.0012393820798024535,0.9991677403450012,0.006975026801228523,4.955033170333894,90164,0.895445
Nasopharynx_cancer,0.0011983930598944426,0.9994438290596008,0.007790419738739729,4.3964608915070755,24915,0.88967
Neck_pain,0.0016051107086241245,0.9989991188049316,0.0061543476767838,4.216825423266047,16475,0.88973
Neonatal_disorders,0.0009983265772461891,0.9993723630905151,0.007504780776798725,5.34823669488744,222965,0.897231
Neuroblastoma_and_other_peripheral_nervous_cell_tumors,0.001499040168710053,0.9991012811660767,0.007722422480583191,4.532435864506711,34075,0.892906
Non-Hodgkin_lymphoma,0.0015899789286777377,0.9990898370742798,0.007000977173447609,4.84641752958803,70213,0.889545
Non-melanoma_skin_cancer,0.0012498199939727783,0.9995923638343811,0.006761476397514343,5.0093786490246535,102183,0.89116
Non-rheumatic_valvular_heart_disease,0.0018826377345249057,0.9988960027694702,0.006853332743048668,4.886530204694522,77007,0.895587
Onchocerciasis,0.0025801307056099176,0.9987198114395142,0.006194391753524542,3.370142847051102,2345,0.888863
Oral_disorders,0.001101818634197116,0.9992435574531555,0.007403785362839699,5.285370499706532,192917,0.896613
Osteoarthritis,0.001509783323854208,0.9990286827087402,0.006876267027109861,5.058126014703334,114321,0.893702
Other_cardiovascular_and_circulatory_diseases,0.0009405058808624744,0.9995600581169128,0.007804782595485449,5.322804164247814,210283,0.896782
Other_chronic_respiratory_diseases,0.0010788876097649336,0.9993942379951477,0.007234664633870125,4.999448095474381,99873,0.896861
Other_digestive_diseases,0.0007999330991879106,0.9996199607849121,0.007772253360599279,5.338506295162127,218025,0.896809
Other_intestinal_infectious_diseases,0.0011003565741702914,0.9993236660957336,0.007296539843082428,4.405055936460842,25413,0.893175
Other_malignant_neoplasms,0.0010278815170750022,0.9996271729469299,0.007286077830940485,5.345073640196616,221347,0.895333
Other_mental_disorders,0.0013237077509984374,0.9994320869445801,0.007374185603111982,5.341760864759556,219665,0.897352
Other_musculoskeletal_disorders,0.0009724801639094949,0.9994416236877441,0.007729632779955864,5.341638268722254,219603,0.894867
Other_neglected_tropical_diseases,0.0015351080801337957,0.9991307258605957,0.00821550004184246,4.102330780101544,12657,0.894678
Other_neoplasms,0.001291214837692678,0.9993516206741333,0.006808165926486254,5.049396356998384,112046,0.892899
Other_neurological_disorders,0.0008771502762101591,0.9995073676109314,0.007837469689548016,5.342446368966094,220012,0.896857
Other_nutritional_deficiencies,0.00122140406165272,0.999301552772522,0.0072068339213728905,4.859756561452023,72403,0.895376
Other_pharynx_cancer,0.0012990713585168123,0.9995047450065613,0.006896326318383217,4.440783181359334,27592,0.890379
Other_sense_organ_diseases,0.0012787706218659878,0.9992121458053589,0.007201609667390585,4.997792526290296,99493,0.896308
Other_skin_and_subcutaneous_diseases,0.0007831478142179549,0.9995349645614624,0.007841210812330246,5.311045701779195,204666,0.898259
Other_transport_injuries,0.00280177709646523,0.9982135891914368,0.006285442505031824,2.88024177589548,759,0.887883
Other_unintentional_injuries,0.0016587722348049283,0.9989564418792725,0.006881503388285637,3.6652056284346006,4626,0.887231
Other_unspecified_infectious_diseases,0.0011427205754444003,0.9993295073509216,0.00756648788228631,5.325505401084957,211595,0.899235
Otitis_media,0.0014111900236457586,0.9990454316139221,0.007057609967887402,4.2439305368042755,17536,0.890794
Ovarian_cancer,0.0012010389473289251,0.9995417594909668,0.0074203903786838055,4.948070481518941,88730,0.895482
Pancreatic_cancer,0.0012173973955214024,0.9995570182800293,0.007388839963823557,4.94308376999904,87717,0.896237
Pancreatitis,0.0011160314315930009,0.9993355870246887,0.00710704131051898,4.681837982120146,48066,0.895279
Paralytic_ileus_and_intestinal_obstruction,0.001930069294758141,0.998816192150116,0.006664149463176727,4.379577433327807,23965,0.890324
Parkinson's_disease,0.001600571908056736,0.9989749789237976,0.007028219755738974,5.14654041958469,140133,0.896606
Pertussis,0.00158539111725986,0.998947024345398,0.007903121411800385,4.202352067809752,15935,0.89403
Pneumoconiosis,0.00133895396720618,0.9990484714508057,0.00731023820117116,3.7661896933101597,5837,0.892105
Poisonings,0.0011658460134640336,0.9991771578788757,0.008113138377666473,4.96141160118714,91498,0.898965
Police_conflict_and_executions,0.002992486348375678,0.9982592463493347,0.006150481756776571,3.4148062795010126,2599,0.892306
Prostate_cancer,0.0011781960492953658,0.9994072914123535,0.007247893139719963,5.216651407006711,164684,0.895741
Protein-energy_malnutrition,0.0014428526628762484,0.9991269111633301,0.006611890159547329,3.4670158184384356,2931,0.885068
Pruritus,0.0011669844388961792,0.9993494749069214,0.007112381514161825,4.296796774713955,19806,0.892731
Psoriasis,0.0012851256178691983,0.999264121055603,0.007077239919453859,4.676547296313653,47484,0.892514
Pulmonary_Arterial_Hypertension,0.0012711983872577548,0.9991531372070312,0.007844376377761364,4.72146436017342,52658,0.891525
Rabies,0.001778035773895681,0.998972475528717,0.007267190143465996,3.9856060830524362,9674,0.894812
Rheumatic_heart_disease,0.0014273237902671099,0.9990543127059937,0.006944846361875534,3.676602169582018,4749,0.889057
Rheumatoid_arthritis,0.0011207318166270852,0.9993170499801636,0.007166572846472263,5.046978745101218,111424,0.894756
Road_injuries,0.001912513980641961,0.9987308382987976,0.0067068953067064285,4.482373285458582,30365,0.894758
Scabies,0.0018675822066143155,0.9988588690757751,0.0077439602464437485,3.458033192496506,2871,0.893507
Schistosomiasis,0.0017247832147404552,0.9990401268005371,0.0074540432542562485,4.1532659350758685,14232,0.896983
Schizophrenia,0.001628828700631857,0.9992432594299316,0.0068526058457791805,5.09281535124726,123827,0.896719
Self-harm,0.001985883805900812,0.9990158081054688,0.006764611229300499,4.768874790118875,58732,0.895329
Sexually_transmitted_infections_excluding_HIV,0.0013834488345310092,0.9991106390953064,0.007182412780821323,5.307525988224035,203014,0.897467
Soft_tissue_and_other_extraosseous_sarcomas,0.0013188302982598543,0.9994239807128906,0.007324570789933205,4.844259663390165,69865,0.892438
Stomach_cancer,0.001527757034637034,0.9994316101074219,0.007401833776384592,5.014184397501279,103320,0.896438
Stroke,0.0010709970956668258,0.9994202852249146,0.007260454352945089,5.329292089835524,213448,0.89641
Sudden_infant_death_syndrome,0.0014610439538955688,0.9989871978759766,0.00680845882743597,3.6716355966021297,4695,0.891402
Testicular_cancer,0.0014483582926914096,0.9991868138313293,0.006841416470706463,4.10595276923698,12763,0.890715
Tetanus,0.001500709680840373,0.9991143345832825,0.007436290383338928,4.092685562937491,12379,0.890583
Thyroid_cancer,0.0012881809379905462,0.9993529319763184,0.007098181638866663,4.717745374906922,52209,0.89512
Tracheal,0.002458406612277031,0.9983752965927124,0.007255407050251961,3.059184617631371,1146,0.881579
"Tracheal,_bronchus,_and_lung_cancer",0.0011176728876307607,0.9995706081390381,0.007741264067590237,5.27415784926368,188000,0.896263
Trachoma,0.0020336199086159468,0.9986234307289124,0.006551122758537531,3.3163897510731952,2072,0.888441
Tuberculosis,0.0013145303819328547,0.9991748929023743,0.008233887143433094,5.1539976866928,142560,0.898243
Typhoid_and_paratyphoid,0.0018723922548815608,0.9989438652992249,0.00801378209143877,3.795184589682424,6240,0.893226
Upper_digestive_system_diseases,0.0008628761861473322,0.9995750188827515,0.007644737139344215,5.334471846377363,216009,0.896968
Upper_respiratory_infections,0.0010368520161136985,0.9994226098060608,0.007598127704113722,5.247241465092776,176702,0.898432
Urinary_diseases_and_male_infertility,0.0008891248726285994,0.9995130896568298,0.007422324735671282,5.336485750711003,217013,0.895595
Urticaria,0.0013899176847189665,0.9991737604141235,0.006917319260537624,4.197611323169714,15762,0.893974
Uterine_cancer,0.001155062927864492,0.9995306730270386,0.007061760872602463,4.983030584144306,96168,0.89351
Varicella_and_herpes_zoster,0.0013152360916137695,0.9992356300354004,0.007084512617439032,4.187210399650053,15389,0.892559
Vascular_intestinal_disorders,0.0015216803876683116,0.999011218547821,0.006506042554974556,3.6259294927162946,4226,0.88249
Viral_skin_diseases,0.0013326335465535522,0.9991436004638672,0.007102198898792267,3.9992610711131005,9983,0.888638
Vitamin_A_deficiency,0.0015678917989134789,0.9989964962005615,0.006557582411915064,3.496237545166735,3135,0.883326
Yellow_fever,0.0021509421057999134,0.9989386200904846,0.007661812473088503,3.7547304690237535,5685,0.892066
Zika_virus,0.002414488699287176,0.998604953289032,0.007635738700628281,4.106394903130426,12776,0.898114
